acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.421875,0.921875,0.125,-9.67,0.399775,59.5,29.29,4
-0.4375,0.921875,0.140625,52.04,0.399775,59.5,29.29,4
-0.40625,0.90625,0.140625,76.54,0.399775,59.5,29.29,4
-0.40625,0.921875,0.140625,62.33,0.399775,59.5,29.29,4
-0.421875,0.90625,0.109375,30.99,0.399775,59.5,29.29,4
-0.3125,0.859375,0.171875,-3.71,0.399775,59.5,29.29,4
-0.390625,0.859375,0.171875,-31.09,0.399775,59.5,29.29,4
-0.4375,0.90625,0.140625,-33.47,0.399775,59.5,29.29,4
-0.34375,0.921875,0.109375,-6.68,0.443341,59.5,29.29,4
-0.4375,0.921875,0.109375,25.65,0.443341,59.5,29.29,4
-0.46875,0.9375,0.078125,42.14,0.443341,59.5,29.29,4
-0.4375,0.890625,0.09375,52.99,0.443341,59.5,29.29,4
-0.34375,0.859375,0.125,74.92,0.443341,59.5,29.29,4
-0.453125,0.9375,0.09375,100.6,0.443341,59.5,29.29,4
-0.4375,0.921875,0.078125,118.89,0.443341,59.5,29.29,4
-0.4375,0.90625,0.09375,142.3,0.443341,59.5,29.29,4
-0.40625,0.953125,0.109375,181.5,0.148634,59.5,29.29,4
-0.390625,0.90625,0.109375,220.88,0.148634,59.5,29.29,4
-0.4375,0.9375,0.109375,241.43,0.148634,59.5,29.29,4
-0.421875,0.90625,0.09375,243.27,0.148634,59.5,29.29,4
-0.421875,0.921875,0.09375,232.27,0.148634,59.5,29.29,4
-0.421875,0.921875,0.09375,209.4,0.148634,59.5,29.29,4
-0.421875,0.90625,0.09375,181.24,0.148634,59.5,29.29,4
-0.421875,0.90625,0.109375,152.82,0.148634,59.5,29.29,4
-0.421875,0.921875,0.09375,119.08,0.189637,59.5,29.29,4
-0.421875,0.921875,0.09375,70.87,0.189637,59.5,29.29,4
-0.421875,0.921875,0.09375,18.78,0.189637,59.5,29.29,4
-0.421875,0.90625,0.09375,-17.58,0.189637,59.5,29.29,4
-0.421875,0.90625,0.09375,-36.36,0.189637,59.5,29.29,4
-0.421875,0.90625,0.109375,-55.86,0.189637,59.5,29.29,4
-0.421875,0.90625,0.09375,-92.29,0.189637,59.5,29.29,4
-0.421875,0.90625,0.109375,-127.73,0.189637,59.5,29.29,4
-0.421875,0.90625,0.109375,-147.9,0.142228,67.33,29.19,4
-0.421875,0.90625,0.109375,-159.66,0.142228,67.33,29.19,4
-0.40625,0.90625,0.109375,-197.73,0.142228,67.33,29.19,4
-0.421875,0.921875,0.109375,-262.22,0.142228,67.33,29.19,4
-0.40625,0.90625,0.109375,-310.68,0.142228,67.33,29.19,4
-0.40625,0.90625,0.109375,-316.83,0.142228,67.33,29.19,4
-0.421875,0.921875,0.125,-306.86,0.142228,67.33,29.19,4
-0.421875,0.921875,0.140625,-337.47,0.142228,67.33,29.19,4
-0.421875,0.890625,0.140625,-401.81,0.108913,67.33,29.19,4
-0.484375,0.8125,0.140625,-473.97,0.108913,67.33,29.19,4
-0.53125,0.8125,0.125,-444.21,0.108913,67.33,29.19,4
-0.53125,0.84375,0.109375,-262.11,0.108913,67.33,29.19,4
-0.59375,0.859375,0.109375,-148.44,0.108913,67.33,29.19,4
-0.65625,0.875,0.09375,-132.24,0.108913,67.33,29.19,4
-0.71875,0.859375,0.078125,-123.57,0.108913,67.33,29.19,4
-0.71875,0.84375,0.09375,-72.42,0.108913,67.33,29.19,4
-0.6875,0.828125,0.140625,12.32,0.094818,67.33,29.19,4
-0.625,0.796875,0.140625,123.86,0.094818,67.33,29.19,4
-0.609375,0.78125,0.140625,230.06,0.094818,67.33,29.19,4
-0.609375,0.765625,0.125,295.18,0.094818,67.33,29.19,4
-0.578125,0.78125,0.125,285.71,0.094818,67.33,29.19,4
-0.5625,0.78125,0.125,218.19,0.094818,67.33,29.19,4
-0.546875,0.796875,0.125,149.94,0.094818,67.33,29.19,4
-0.546875,0.796875,0.125,114.67,0.094818,67.33,29.19,4
-0.5,0.8125,0.125,105.13,0.070473,67.33,29.19,4
-0.46875,0.828125,0.125,89.58,0.070473,67.33,29.19,4
-0.453125,0.921875,0.15625,67.55,0.070473,67.33,29.19,4
-0.421875,1.0625,0.0625,50.93,0.070473,67.33,29.19,4
-0.390625,1.09375,0.03125,41.01,0.070473,67.33,29.19,4
-0.390625,1.171875,0.0625,24.93,0.070473,67.33,29.19,4
-0.40625,1.109375,0.046875,5.51,0.070473,67.33,29.19,4
-0.421875,1.03125,-0.015625,-1.61,0.070473,67.33,29.19,4
-0.390625,0.921875,-0.015625,3.45,0.101225,63.25,29.29,4
-0.390625,0.9375,0.0,9.26,0.101225,63.25,29.29,4
-0.375,0.890625,0.015625,9.07,0.101225,63.25,29.29,4
-0.375,0.828125,0.03125,8.41,0.101225,63.25,29.29,4
-0.34375,0.6875,0.015625,11.47,0.101225,63.25,29.29,4
-0.34375,0.671875,0.046875,15.73,0.101225,63.25,29.29,4
-0.359375,0.6875,0.046875,16.53,0.101225,63.25,29.29,4
-0.375,0.734375,0.078125,12.59,0.101225,63.25,29.29,4
-0.40625,0.78125,0.09375,6.29,0.247297,63.25,29.29,4
-0.40625,0.828125,0.140625,0.09,0.247297,63.25,29.29,4
-0.40625,0.828125,0.171875,-5.95,0.247297,63.25,29.29,4
-0.453125,0.859375,0.203125,-12.04,0.247297,63.25,29.29,4
-0.546875,1.046875,0.203125,-15.34,0.247297,63.25,29.29,4
-0.5625,1.140625,0.1875,-12.76,0.247297,63.25,29.29,4
-0.515625,1.203125,0.140625,-6.21,0.247297,63.25,29.29,4
-0.625,1.296875,0.15625,0.08,0.247297,63.25,29.29,4
-0.71875,1.234375,0.140625,4.77,0.228077,63.25,29.29,4
-0.75,1.09375,0.109375,7.86,0.228077,63.25,29.29,4
-0.671875,1.078125,0.09375,9.62,0.228077,63.25,29.29,4
-0.5625,1.15625,0.125,13.25,0.228077,63.25,29.29,4
-0.5,1.125,0.078125,20.85,0.228077,63.25,29.29,4
-0.453125,1.015625,0.0625,28.69,0.228077,63.25,29.29,4
-0.359375,0.875,0.046875,32.54,0.228077,63.25,29.29,4
-0.3125,0.84375,0.03125,32.65,0.228077,63.25,29.29,4
-0.265625,0.796875,-0.015625,31.05,0.078161,63.25,29.29,4
-0.265625,0.75,-0.046875,29.76,0.078161,63.25,29.29,4
-0.265625,0.75,-0.0625,30.03,0.078161,63.25,29.29,4
-0.25,0.75,-0.078125,30.36,0.078161,63.25,29.29,4
-0.265625,0.765625,-0.046875,28.65,0.078161,63.25,29.29,4
-0.265625,0.90625,-0.0625,26.4,0.078161,63.25,29.29,4
-0.25,0.953125,-0.03125,26.24,0.078161,63.25,29.29,4
-0.296875,1.0625,-0.03125,28.64,0.078161,63.25,29.29,4
-0.296875,1.28125,-0.0625,32.27,0.082005,62.6,29.29,4
-0.28125,1.265625,-0.03125,31.17,0.082005,62.6,29.29,4
-0.375,1.015625,0.015625,17.97,0.082005,62.6,29.29,4
-0.40625,0.953125,0.0625,-2.41,0.082005,62.6,29.29,4
-0.421875,1.03125,0.0625,-15.97,0.082005,62.6,29.29,4
-0.421875,0.96875,0.140625,-21.72,0.082005,62.6,29.29,4
-0.390625,0.875,0.1875,-30.2,0.082005,62.6,29.29,4
-0.3125,0.65625,0.171875,-40.82,0.082005,62.6,29.29,4
-0.40625,0.703125,0.1875,-43.9,0.078161,62.6,29.29,4
-0.484375,0.75,0.1875,-40.6,0.078161,62.6,29.29,4
-0.515625,0.8125,0.171875,-38.93,0.078161,62.6,29.29,4
-0.515625,0.859375,0.21875,-37.64,0.078161,62.6,29.29,4
-0.515625,0.890625,0.265625,-31.0,0.078161,62.6,29.29,4
-0.5625,0.90625,0.265625,-21.72,0.078161,62.6,29.29,4
-0.609375,0.984375,0.234375,-15.89,0.078161,62.6,29.29,4
-0.65625,1.1875,0.171875,-11.93,0.078161,62.6,29.29,4
-0.640625,1.296875,0.15625,-3.31,0.07688,62.6,29.29,4
-0.671875,1.328125,0.171875,11.96,0.07688,62.6,29.29,4
-0.671875,1.109375,0.078125,28.33,0.07688,62.6,29.29,4
-0.6875,1.140625,0.078125,36.31,0.07688,62.6,29.29,4
