acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.375,-0.8125,0.390625,1.84,2.355721,77.0,28.71,3
-0.359375,-0.859375,0.40625,1.17,2.355721,77.0,28.71,3
-0.34375,-0.859375,0.421875,0.41,2.355721,77.0,28.71,3
-0.328125,-0.828125,0.40625,0.13,2.355721,77.0,28.71,3
-0.359375,-0.765625,0.34375,-0.12,2.355721,77.0,28.71,3
-0.40625,-0.796875,0.28125,-0.6,2.355721,77.0,28.71,3
-0.484375,-0.90625,0.3125,-0.39,2.355721,77.0,28.71,3
-0.4375,-0.921875,0.3125,1.52,2.355721,77.0,28.71,3
-0.3125,-0.859375,0.3125,4.45,2.324969,77.0,28.71,3
-0.453125,-0.875,0.265625,6.44,2.324969,77.0,28.71,3
-0.40625,-0.859375,0.28125,6.68,2.324969,77.0,28.71,3
-0.390625,-0.875,0.265625,7.12,2.324969,77.0,28.71,3
-0.390625,-0.875,0.265625,10.87,2.324969,77.0,28.71,3
-0.359375,-0.859375,0.265625,17.73,2.324969,77.0,28.71,3
-0.359375,-0.84375,0.25,21.4,2.324969,77.0,28.71,3
-0.375,-0.828125,0.25,15.49,2.324969,77.0,28.71,3
-0.390625,-0.84375,0.234375,3.21,2.272434,77.0,28.71,3
-0.359375,-0.859375,0.25,-4.76,2.272434,77.0,28.71,3
-0.359375,-0.875,0.234375,-2.8,2.272434,77.0,28.71,3
-0.390625,-0.875,0.234375,4.64,2.272434,77.0,28.71,3
-0.390625,-0.875,0.234375,10.8,2.272434,77.0,28.71,3
-0.375,-0.875,0.234375,13.97,2.272434,77.0,28.71,3
-0.390625,-0.875,0.25,16.3,2.272434,77.0,28.71,3
-0.390625,-0.859375,0.265625,19.19,2.272434,77.0,28.71,3
-0.390625,-0.859375,0.25,22.35,2.303186,77.0,28.73,3
-0.40625,-0.859375,0.25,26.12,2.303186,77.0,28.73,3
-0.359375,-0.859375,0.265625,31.36,2.303186,77.0,28.73,3
-0.328125,-0.859375,0.265625,36.87,2.303186,77.0,28.73,3
-0.375,-0.953125,0.28125,40.09,2.303186,77.0,28.73,3
