acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.171875,-0.890625,0.390625,104.63,2.1238,78.5,32.99,4
-0.15625,-0.859375,0.40625,72.94,2.1238,78.5,32.99,4
-0.171875,-0.84375,0.421875,5.12,2.1238,78.5,32.99,4
-0.171875,-0.828125,0.34375,-64.09,2.1238,78.5,32.99,4
-0.203125,-0.875,0.3125,-94.21,2.1238,78.5,32.99,4
-0.203125,-0.90625,0.375,-94.37,2.1238,78.5,32.99,4
-0.234375,-0.96875,0.34375,-106.98,2.1238,78.5,32.99,4
-0.421875,-0.953125,0.1875,-139.16,2.1238,78.5,32.99,4
-0.1875,-0.90625,0.328125,-155.72,2.218618,78.5,32.99,4
-0.1875,-0.90625,0.34375,-134.47,2.218618,78.5,32.99,4
-0.171875,-0.890625,0.3125,-92.73,2.218618,78.5,32.99,4
-0.171875,-0.890625,0.296875,-52.35,2.218618,78.5,32.99,4
-0.171875,-0.890625,0.28125,-7.28,2.218618,78.5,32.99,4
-0.1875,-0.890625,0.28125,51.42,2.218618,78.5,32.99,4
-0.203125,-0.890625,0.265625,107.66,2.218618,78.5,32.99,4
-0.21875,-0.890625,0.234375,137.6,2.218618,78.5,32.99,4
-0.203125,-0.890625,0.234375,141.13,2.199399,78.5,32.99,4
-0.1875,-0.90625,0.234375,123.95,2.199399,78.5,32.99,4
-0.1875,-0.90625,0.203125,81.92,2.199399,78.5,32.99,4
-0.1875,-0.921875,0.1875,15.42,2.199399,78.5,32.99,4
-0.171875,-0.921875,0.171875,-61.79,2.199399,78.5,32.99,4
-0.171875,-0.890625,0.15625,-124.3,2.199399,78.5,32.99,4
-0.171875,-0.890625,0.15625,-152.92,2.199399,78.5,32.99,4
-0.140625,-0.90625,0.171875,-147.91,2.199399,78.5,32.99,4
-0.125,-0.96875,0.171875,-143.1,2.195554,78.5,32.99,4
-0.109375,-1.03125,0.234375,-152.59,2.195554,78.5,32.99,4
-0.109375,-0.96875,0.203125,-158.75,2.195554,78.5,32.99,4
-0.125,-1.0,0.21875,-150.6,2.195554,78.5,32.99,4
-0.140625,-1.015625,0.234375,-150.1,2.195554,78.5,32.99,4
-0.125,-0.984375,0.25,-182.84,2.195554,78.5,32.99,4
-0.109375,-0.96875,0.25,-233.6,2.195554,78.5,32.99,4
-0.015625,-0.96875,0.4375,-283.22,2.195554,78.5,32.99,4
-0.078125,-0.953125,0.40625,-248.01,2.19171,79.4,32.97,4
-0.28125,-0.90625,0.21875,-90.29,2.19171,79.4,32.97,4
-0.359375,-0.875,0.078125,63.55,2.19171,79.4,32.97,4
-0.3125,-0.890625,0.078125,158.29,2.19171,79.4,32.97,4
-0.234375,-0.90625,0.09375,211.53,2.19171,79.4,32.97,4
-0.203125,-0.921875,0.109375,226.55,2.19171,79.4,32.97,4
-0.203125,-0.96875,0.125,205.16,2.19171,79.4,32.97,4
-0.203125,-1.046875,0.125,181.71,2.19171,79.4,32.97,4
-0.203125,-1.09375,0.125,172.48,2.189148,79.4,32.97,4
-0.171875,-1.09375,0.140625,163.38,2.189148,79.4,32.97,4
-0.1875,-1.140625,0.15625,126.98,2.189148,79.4,32.97,4
-0.21875,-1.25,0.203125,72.81,2.189148,79.4,32.97,4
-0.3125,-1.234375,0.15625,26.79,2.189148,79.4,32.97,4
-0.359375,-1.171875,0.015625,-9.98,2.189148,79.4,32.97,4
-0.25,-1.09375,0.03125,-45.19,2.189148,79.4,32.97,4
-0.171875,-0.984375,0.046875,-84.49,2.189148,79.4,32.97,4
-0.078125,-0.890625,0.0,-110.88,2.207087,79.4,32.97,4
-0.0625,-0.90625,-0.015625,-117.14,2.207087,79.4,32.97,4
-0.078125,-0.9375,-0.046875,-115.9,2.207087,79.4,32.97,4
-0.140625,-0.921875,-0.078125,-124.7,2.207087,79.4,32.97,4
-0.15625,-0.890625,-0.09375,-143.62,2.207087,79.4,32.97,4
-0.1875,-0.859375,-0.046875,-151.97,2.207087,79.4,32.97,4
-0.203125,-0.8125,0.0,-122.21,2.207087,79.4,32.97,4
-0.171875,-0.796875,0.015625,-55.1,2.207087,79.4,32.97,4
-0.109375,-0.8125,0.03125,14.0,2.19171,79.4,32.97,4
-0.078125,-0.84375,0.046875,53.42,2.19171,79.4,32.97,4
-0.078125,-0.859375,0.078125,59.45,2.19171,79.4,32.97,4
-0.09375,-0.875,0.046875,44.14,2.19171,79.4,32.97,4
-0.109375,-0.9375,0.015625,16.12,2.19171,79.4,32.97,4
-0.203125,-1.0625,-0.078125,-15.37,2.19171,79.4,32.97,4
-0.28125,-1.03125,-0.140625,-33.68,2.19171,79.4,32.97,4
-0.265625,-1.0625,-0.171875,-29.93,2.19171,79.4,32.97,4
-0.15625,-1.203125,-0.125,-12.86,2.186585,84.33,32.91,4
-0.171875,-1.203125,-0.109375,-1.84,2.186585,84.33,32.91,4
-0.25,-1.15625,-0.0625,-1.26,2.186585,84.33,32.91,4
-0.28125,-1.046875,-0.015625,-1.03,2.186585,84.33,32.91,4
-0.21875,-0.90625,0.046875,-5.66,2.186585,84.33,32.91,4
-0.21875,-1.0,0.03125,-27.65,2.186585,84.33,32.91,4
-0.203125,-1.046875,0.078125,-54.26,2.186585,84.33,32.91,4
-0.15625,-1.109375,0.078125,-56.73,2.186585,84.33,32.91,4
-0.078125,-1.03125,0.09375,-31.71,2.172491,84.33,32.91,4
0.078125,-0.90625,0.1875,1.33,2.172491,84.33,32.91,4
0.046875,-0.84375,0.15625,33.95,2.172491,84.33,32.91,4
-0.0625,-0.796875,0.09375,68.95,2.172491,84.33,32.91,4
-0.203125,-0.8125,-0.078125,93.46,2.172491,84.33,32.91,4
-0.203125,-0.828125,-0.109375,90.19,2.172491,84.33,32.91,4
-0.21875,-0.890625,-0.078125,67.22,2.172491,84.33,32.91,4
-0.21875,-0.96875,-0.09375,46.9,2.172491,84.33,32.91,4
-0.234375,-1.0,-0.09375,35.24,2.171209,84.33,32.91,4
-0.21875,-1.046875,-0.078125,23.24,2.171209,84.33,32.91,4
-0.203125,-1.0625,-0.078125,2.14,2.171209,84.33,32.91,4
-0.15625,-1.265625,-0.171875,-30.56,2.171209,84.33,32.91,4
-0.21875,-1.203125,-0.125,-62.65,2.171209,84.33,32.91,4
-0.203125,-1.109375,-0.078125,-76.81,2.171209,84.33,32.91,4
-0.109375,-0.875,-0.03125,-77.37,2.171209,84.33,32.91,4
-0.0625,-0.84375,-0.0625,-77.43,2.171209,84.33,32.91,4
0.015625,-0.890625,-0.046875,-63.15,2.176335,84.33,32.91,4
0.125,-1.015625,-0.109375,-15.58,2.176335,84.33,32.91,4
0.046875,-0.984375,-0.3125,45.38,2.176335,84.33,32.91,4
0.171875,-0.984375,-0.109375,82.39,2.176335,84.33,32.91,4
0.15625,-1.0,0.015625,84.78,2.176335,84.33,32.91,4
-0.0625,-0.9375,0.046875,65.18,2.176335,84.33,32.91,4
-0.265625,-0.875,-0.03125,37.79,2.176335,84.33,32.91,4
-0.265625,-0.875,-0.09375,14.88,2.176335,84.33,32.91,4
-0.21875,-0.890625,-0.15625,4.05,2.182741,87.71,32.95,4
-0.203125,-0.890625,-0.125,2.66,2.182741,87.71,32.95,4
-0.140625,-0.921875,-0.109375,3.87,2.182741,87.71,32.95,4
-0.15625,-0.96875,-0.15625,5.31,2.182741,87.71,32.95,4
-0.140625,-1.0,-0.15625,2.4,2.182741,87.71,32.95,4
-0.125,-1.09375,-0.15625,-14.89,2.182741,87.71,32.95,4
-0.140625,-1.109375,-0.15625,-41.58,2.182741,87.71,32.95,4
-0.1875,-1.1875,-0.140625,-47.55,2.182741,87.71,32.95,4
-0.25,-1.140625,-0.125,-10.91,2.18146,87.71,32.95,4
-0.265625,-1.09375,-0.0625,49.15,2.18146,87.71,32.95,4
