acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.421875,-0.796875,0.421875,24.58,2.829629,53.3,27.33,5
-0.375,-0.8125,0.421875,25.14,2.829629,53.3,27.33,5
-0.390625,-0.796875,0.453125,24.09,2.829629,53.3,27.33,5
-0.453125,-0.78125,0.46875,21.27,2.829629,53.3,27.33,5
-0.40625,-0.828125,0.484375,16.99,2.829629,53.3,27.33,5
-0.453125,-0.78125,0.296875,13.16,2.829629,53.3,27.33,5
-0.828125,-1.109375,0.234375,11.34,2.829629,53.3,27.33,5
-0.234375,-0.828125,0.421875,10.28,2.829629,53.3,27.33,5
-0.421875,-0.84375,0.328125,7.65,2.668874,53.3,27.33,5
-0.421875,-0.828125,0.328125,3.49,2.668874,53.3,27.33,5
-0.390625,-0.84375,0.328125,-0.25,2.668874,53.3,27.33,5
-0.421875,-0.84375,0.3125,-2.93,2.668874,53.3,27.33,5
-0.390625,-0.828125,0.328125,-5.78,2.668874,53.3,27.33,5
-0.390625,-0.828125,0.328125,-9.83,2.668874,53.3,27.33,5
-0.390625,-0.84375,0.328125,-15.05,2.668874,53.3,27.33,5
-0.40625,-0.828125,0.328125,-20.46,2.668874,53.3,27.33,5
-0.390625,-0.828125,0.34375,-24.25,3.000739,53.3,27.33,5
-0.390625,-0.84375,0.34375,-24.76,3.000739,53.3,27.33,5
-0.40625,-0.84375,0.34375,-22.12,3.000739,53.3,27.33,5
-0.421875,-0.84375,0.328125,-17.93,3.000739,53.3,27.33,5
-0.40625,-0.859375,0.328125,-13.56,3.000739,53.3,27.33,5
-0.390625,-0.859375,0.3125,-9.67,3.000739,53.3,27.33,5
-0.40625,-0.828125,0.328125,-6.79,3.000739,53.3,27.33,5
-0.40625,-0.828125,0.328125,-5.04,3.000739,53.3,27.33,5
-0.390625,-0.828125,0.328125,-3.97,3.062243,53.3,27.33,5
-0.40625,-0.84375,0.34375,-3.58,3.062243,53.3,27.33,5
-0.4375,-0.84375,0.328125,-4.76,3.062243,53.3,27.33,5
-0.4375,-0.84375,0.34375,-7.69,3.062243,53.3,27.33,5
-0.4375,-0.828125,0.34375,-10.51,3.062243,53.3,27.33,5
-0.4375,-0.8125,0.34375,-11.0,3.062243,53.3,27.33,5
-0.4375,-0.828125,0.328125,-9.23,3.062243,53.3,27.33,5
-0.421875,-0.78125,0.296875,-7.39,3.062243,53.3,27.33,5
-0.421875,-0.796875,0.265625,-6.64,3.099401,55.09,27.33,5
-0.40625,-0.78125,0.25,-4.88,3.099401,55.09,27.33,5
-0.375,-0.765625,0.25,0.5,3.099401,55.09,27.33,5
-0.359375,-0.78125,0.234375,9.2,3.099401,55.09,27.33,5
-0.359375,-0.890625,0.25,19.82,3.099401,55.09,27.33,5
-0.328125,-0.953125,0.28125,32.49,3.099401,55.09,27.33,5
-0.328125,-0.984375,0.296875,46.81,3.099401,55.09,27.33,5
-0.25,-1.078125,0.3125,59.99,3.099401,55.09,27.33,5
-0.25,-1.0625,0.3125,67.05,3.130153,55.09,27.33,5
-0.265625,-1.015625,0.3125,61.03,3.130153,55.09,27.33,5
-0.28125,-0.9375,0.3125,40.01,3.130153,55.09,27.33,5
-0.265625,-0.875,0.296875,15.47,3.130153,55.09,27.33,5
-0.234375,-0.890625,0.28125,0.54,3.130153,55.09,27.33,5
-0.25,-0.9375,0.28125,-7.93,3.130153,55.09,27.33,5
-0.296875,-0.90625,0.28125,-19.89,3.130153,55.09,27.33,5
-0.3125,-0.875,0.25,-33.42,3.130153,55.09,27.33,5
-0.3125,-0.875,0.25,-41.62,3.153217,55.09,27.39,5
-0.3125,-0.796875,0.296875,-45.95,3.153217,55.09,27.39,5
-0.34375,-0.765625,0.28125,-49.76,3.153217,55.09,27.39,5
-0.34375,-0.734375,0.28125,-50.66,3.153217,55.09,27.39,5
-0.390625,-0.71875,0.3125,-47.34,3.153217,55.09,27.39,5
-0.390625,-0.71875,0.328125,-43.58,3.153217,55.09,27.39,5
-0.4375,-0.75,0.34375,-42.03,3.153217,55.09,27.39,5
-0.4375,-0.78125,0.34375,-40.74,3.153217,55.09,27.39,5
-0.375,-0.84375,0.359375,-37.48,3.200626,55.09,27.39,5
-0.34375,-0.875,0.34375,-33.19,3.200626,55.09,27.39,5
-0.359375,-0.953125,0.3125,-29.87,3.200626,55.09,27.39,5
-0.4375,-1.359375,0.25,-27.27,3.200626,55.09,27.39,5
-0.515625,-1.421875,0.265625,-23.5,3.200626,55.09,27.39,5
-0.609375,-1.265625,0.203125,-18.25,3.200626,55.09,27.39,5
-0.484375,-0.890625,0.15625,-13.67,3.200626,55.09,27.39,5
-0.390625,-0.984375,0.171875,-11.41,3.200626,55.09,27.39,5
-0.34375,-1.078125,0.171875,-10.58,3.237785,56.42,27.39,5
-0.3125,-1.046875,0.140625,-9.73,3.237785,56.42,27.39,5
-0.25,-0.828125,0.109375,-8.51,3.237785,56.42,27.39,5
-0.265625,-0.703125,0.09375,-6.81,3.237785,56.42,27.39,5
-0.296875,-0.6875,0.09375,-4.53,3.237785,56.42,27.39,5
-0.34375,-0.625,0.046875,-2.25,3.237785,56.42,27.39,5
-0.359375,-0.640625,0.03125,-0.53,3.237785,56.42,27.39,5
-0.28125,-0.71875,0.046875,0.63,3.237785,56.42,27.39,5
-0.1875,-0.828125,0.125,1.42,3.283913,56.42,27.39,5
-0.171875,-0.890625,0.125,2.24,3.283913,56.42,27.39,5
-0.28125,-0.984375,0.09375,3.45,3.283913,56.42,27.39,5
-0.328125,-1.046875,0.078125,4.34,3.283913,56.42,27.39,5
-0.328125,-1.15625,0.109375,3.33,3.283913,56.42,27.39,5
-0.34375,-1.40625,0.0625,-0.16,3.283913,56.42,27.39,5
