acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.296875,-0.46875,0.828125,-30.11,1.608505,75.0,25.01,7
0.3125,-0.4375,0.828125,-44.67,1.608505,75.0,25.01,7
0.359375,-0.421875,0.84375,-59.48,1.608505,75.0,25.01,7
0.390625,-0.4375,0.84375,-74.75,1.608505,75.0,25.01,7
0.359375,-0.453125,0.828125,-90.93,1.608505,75.0,25.01,7
0.28125,-0.5,0.8125,-105.32,1.608505,75.0,25.01,7
0.3125,-0.46875,0.796875,-114.56,1.608505,75.0,25.01,7
0.234375,-0.53125,0.71875,-119.34,1.608505,75.0,25.01,7
0.1875,-0.59375,0.703125,-127.66,1.505999,75.0,25.01,7
0.3125,-0.53125,0.765625,-150.16,1.505999,75.0,25.01,7
0.234375,-0.484375,0.75,-180.56,1.505999,75.0,25.01,7
0.25,-0.5,0.78125,-186.27,1.505999,75.0,25.01,7
0.21875,-0.546875,0.765625,-137.77,1.505999,75.0,25.01,7
0.25,-0.5625,0.78125,-43.98,1.505999,75.0,25.01,7
0.1875,-0.515625,0.75,55.25,1.505999,75.0,25.01,7
0.234375,-0.546875,0.765625,125.21,1.505999,75.0,25.01,7
0.265625,-0.53125,0.78125,156.2,1.611068,75.0,25.01,7
0.234375,-0.546875,0.765625,158.53,1.611068,75.0,25.01,7
0.234375,-0.546875,0.765625,148.23,1.611068,75.0,25.01,7
0.265625,-0.546875,0.75,135.59,1.611068,75.0,25.01,7
0.28125,-0.546875,0.734375,123.77,1.611068,75.0,25.01,7
0.28125,-0.53125,0.734375,112.2,1.611068,75.0,25.01,7
0.296875,-0.5,0.71875,98.53,1.611068,75.0,25.01,7
0.3125,-0.515625,0.703125,82.67,1.611068,75.0,25.01,7
0.3125,-0.5,0.6875,69.55,1.702043,75.0,24.97,7
0.40625,-0.5,0.609375,63.51,1.702043,75.0,24.97,7
0.453125,-0.484375,0.53125,61.59,1.702043,75.0,24.97,7
0.328125,-0.4375,0.375,57.46,1.702043,75.0,24.97,7
0.28125,-0.453125,0.359375,50.48,1.702043,75.0,24.97,7
0.203125,-0.484375,0.375,45.2,1.702043,75.0,24.97,7
0.171875,-0.609375,0.4375,43.35,1.702043,75.0,24.97,7
0.1875,-0.671875,0.453125,42.37,1.702043,75.0,24.97,7
0.21875,-0.78125,0.453125,40.91,1.717419,75.0,24.97,7
0.21875,-0.828125,0.46875,41.23,1.717419,75.0,24.97,7
0.140625,-0.96875,0.46875,46.28,1.717419,75.0,24.97,7
0.140625,-1.109375,0.390625,56.49,1.717419,75.0,24.97,7
0.03125,-1.078125,0.375,69.45,1.717419,75.0,24.97,7
-0.078125,-1.0,0.390625,82.83,1.717419,75.0,24.97,7
-0.171875,-0.984375,0.375,97.12,1.717419,75.0,24.97,7
-0.3125,-0.984375,0.3125,113.86,1.717419,75.0,24.97,7
-0.46875,-1.015625,0.25,131.89,1.727669,75.0,24.97,7
-0.5,-1.140625,0.234375,146.98,1.727669,75.0,24.97,7
-0.53125,-1.125,0.203125,155.46,1.727669,75.0,24.97,7
-0.515625,-1.078125,0.203125,160.09,1.727669,75.0,24.97,7
-0.484375,-1.1875,0.21875,170.14,1.727669,75.0,24.97,7
-0.421875,-1.203125,0.234375,184.95,1.727669,75.0,24.97,7
-0.40625,-1.171875,0.265625,180.88,1.727669,75.0,24.97,7
-0.390625,-1.0,0.265625,132.7,1.727669,75.0,24.97,7
-0.40625,-0.96875,0.25,42.8,1.743045,75.0,24.97,7
-0.453125,-0.921875,0.203125,-59.99,1.743045,75.0,24.97,7
-0.4375,-0.9375,0.15625,-139.34,1.743045,75.0,24.97,7
-0.359375,-0.953125,0.15625,-170.95,1.743045,75.0,24.97,7
-0.265625,-0.96875,0.140625,-162.04,1.743045,75.0,24.97,7
-0.234375,-0.984375,0.125,-144.68,1.743045,75.0,24.97,7
-0.15625,-1.125,0.109375,-138.71,1.743045,75.0,24.97,7
