acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.1875,-0.25,0.9375,0.03,2.480226,54.5,22.21,11
-0.203125,-0.265625,0.953125,-0.15,2.480226,54.5,22.21,11
-0.203125,-0.265625,0.953125,-0.22,2.480226,54.5,22.21,11
-0.203125,-0.265625,1.0,-0.35,2.480226,54.5,22.21,11
-0.125,-0.28125,1.0,-0.82,2.480226,54.5,22.21,11
-0.1875,-0.15625,1.03125,-1.27,2.480226,54.5,22.21,11
-0.234375,-0.34375,0.96875,-1.54,2.480226,54.5,22.21,11
-0.28125,-0.28125,0.90625,-2.41,2.480226,54.5,22.21,11
-0.21875,-0.234375,0.890625,-3.78,2.235492,54.5,22.21,11
-0.203125,-0.328125,0.84375,-4.33,2.235492,54.5,22.21,11
-0.21875,-0.25,0.84375,-4.08,2.235492,54.5,22.21,11
-0.234375,-0.265625,0.875,-4.61,2.235492,54.5,22.21,11
-0.25,-0.296875,0.875,-6.18,2.235492,54.5,22.21,11
-0.25,-0.28125,0.890625,-7.94,2.235492,54.5,22.21,11
-0.25,-0.296875,0.90625,-10.4,2.235492,54.5,22.21,11
-0.25,-0.296875,0.921875,-14.6,2.235492,54.5,22.21,11
-0.25,-0.3125,0.921875,-19.82,2.298277,54.5,22.21,11
-0.265625,-0.296875,0.9375,-24.44,2.298277,54.5,22.21,11
-0.28125,-0.3125,0.9375,-28.32,2.298277,54.5,22.21,11
-0.3125,-0.296875,0.9375,-33.48,2.298277,54.5,22.21,11
-0.3125,-0.296875,0.921875,-42.16,2.298277,54.5,22.21,11
-0.3125,-0.28125,0.90625,-53.72,2.298277,54.5,22.21,11
-0.28125,-0.28125,0.921875,-64.68,2.298277,54.5,22.21,11
-0.296875,-0.265625,0.890625,-73.6,2.298277,54.5,22.21,11
-0.28125,-0.265625,0.875,-83.16,2.384126,54.5,22.21,11
-0.28125,-0.265625,0.875,-94.7,2.384126,54.5,22.21,11
-0.25,-0.265625,0.859375,-105.3,2.384126,54.5,22.21,11
-0.234375,-0.28125,0.84375,-113.29,2.384126,54.5,22.21,11
-0.25,-0.296875,0.796875,-122.63,2.384126,54.5,22.21,11
-0.21875,-0.328125,0.703125,-138.36,2.384126,54.5,22.21,11
-0.25,-0.34375,0.625,-160.37,2.384126,54.5,22.21,11
-0.265625,-0.375,0.515625,-179.55,2.384126,54.5,22.21,11
-0.25,-0.390625,0.484375,-177.45,2.404628,53.0,22.23,11
-0.21875,-0.453125,0.421875,-138.49,2.404628,53.0,22.23,11
-0.203125,-0.46875,0.375,-66.3,2.404628,53.0,22.23,11
-0.21875,-0.53125,0.296875,24.18,2.404628,53.0,22.23,11
-0.265625,-0.609375,0.28125,127.63,2.404628,53.0,22.23,11
-0.296875,-0.671875,0.296875,237.53,2.404628,53.0,22.23,11
-0.296875,-0.875,0.328125,325.25,2.404628,53.0,22.23,11
-0.296875,-0.984375,0.375,365.53,2.404628,53.0,22.23,11
-0.265625,-1.34375,0.453125,372.08,2.420004,53.0,22.23,11
-0.203125,-1.578125,0.515625,375.68,2.420004,53.0,22.23,11
-0.140625,-1.625,0.546875,384.22,2.420004,53.0,22.23,11
-0.015625,-1.515625,0.59375,385.42,2.420004,53.0,22.23,11
0.140625,-1.40625,0.84375,365.95,2.420004,53.0,22.23,11
0.28125,-1.421875,1.34375,316.17,2.420004,53.0,22.23,11
-0.796875,-1.296875,0.3125,236.16,2.420004,53.0,22.23,11
-1.078125,-1.109375,0.15625,137.62,2.420004,53.0,22.23,11
-0.640625,-1.0,0.234375,30.03,2.421285,53.0,22.23,11
-0.40625,-0.96875,0.296875,-78.36,2.421285,53.0,22.23,11
-0.078125,-0.9375,0.46875,-163.71,2.421285,53.0,22.23,11
0.125,-0.90625,0.578125,-201.03,2.421285,53.0,22.23,11
0.0625,-0.859375,0.53125,-196.2,2.421285,53.0,22.23,11
-0.125,-0.890625,0.375,-176.36,2.421285,53.0,22.23,11
-0.1875,-0.9375,0.296875,-155.68,2.421285,53.0,22.23,11
-0.296875,-1.015625,0.171875,-134.32,2.421285,53.0,22.23,11
-0.34375,-1.015625,0.125,-116.81,2.443068,53.0,22.23,11
-0.359375,-1.015625,0.140625,-106.98,2.443068,53.0,22.23,11
-0.296875,-1.0625,0.203125,-98.14,2.443068,53.0,22.23,11
-0.25,-1.09375,0.296875,-84.12,2.443068,53.0,22.23,11
-0.125,-1.046875,0.34375,-69.41,2.443068,53.0,22.23,11
-0.140625,-0.953125,0.34375,-60.55,2.443068,53.0,22.23,11
-0.125,-0.90625,0.375,-55.66,2.443068,53.0,22.23,11
-0.109375,-0.859375,0.359375,-48.3,2.443068,53.0,22.23,11
-0.078125,-0.84375,0.390625,-37.38,2.446912,53.75,22.23,11
0.0,-0.765625,0.421875,-27.93,2.446912,53.75,22.23,11
0.015625,-0.671875,0.4375,-23.46,2.446912,53.75,22.23,11
0.0,-0.640625,0.4375,-21.59,2.446912,53.75,22.23,11
-0.03125,-0.625,0.4375,-17.87,2.446912,53.75,22.23,11
-0.0625,-0.640625,0.4375,-12.19,2.446912,53.75,22.23,11
-0.140625,-0.734375,0.40625,-9.22,2.446912,53.75,22.23,11
-0.234375,-0.90625,0.40625,-10.99,2.446912,53.75,22.23,11
-0.28125,-1.015625,0.421875,-12.66,2.453318,53.75,22.23,11
-0.3125,-1.296875,0.46875,-9.71,2.453318,53.75,22.23,11
-0.296875,-1.328125,0.484375,-5.6,2.453318,53.75,22.23,11
-0.25,-1.25,0.53125,-6.66,2.453318,53.75,22.23,11
-0.21875,-0.859375,0.40625,-11.51,2.453318,53.75,22.23,11
-0.203125,-0.734375,0.328125,-12.24,2.453318,53.75,22.23,11
-0.234375,-0.734375,0.25,-6.55,2.453318,53.75,22.23,11
-0.28125,-0.796875,0.25,-1.02,2.453318,53.75,22.23,11
-0.34375,-0.921875,0.28125,-0.68,2.468694,53.75,22.23,11
-0.328125,-0.9375,0.359375,-3.63,2.468694,53.75,22.23,11
-0.28125,-0.90625,0.359375,-2.48,2.468694,53.75,22.23,11
-0.171875,-0.859375,0.3125,16.22,2.468694,53.75,22.23,11
-0.15625,-0.859375,0.328125,51.27,2.468694,53.75,22.23,11
-0.125,-0.859375,0.328125,69.09,2.468694,53.75,22.23,11
-0.171875,-0.90625,0.3125,44.82,2.468694,53.75,22.23,11
-0.1875,-0.90625,0.3125,4.67,2.468694,53.75,22.23,11
-0.171875,-0.921875,0.328125,-13.71,2.480226,53.75,22.23,11
-0.140625,-0.9375,0.359375,-11.56,2.480226,53.75,22.23,11
