acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.441406,0.277344,0.574219,0.535110,0.011193,0.322533,0.478452,3
0.449219,0.265625,0.585938,0.536040,0.011193,0.322533,0.478452,3
0.441406,0.277344,0.585938,0.534980,0.011193,0.322533,0.478452,3
0.449219,0.277344,0.585938,0.535630,0.011193,0.322533,0.478452,3
0.460938,0.285156,0.574219,0.538570,0.011193,0.322533,0.478452,3
0.453125,0.253906,0.558594,0.542750,0.011193,0.322533,0.478452,3
0.425781,0.265625,0.554688,0.548130,0.011193,0.322533,0.478452,3
0.437500,0.277344,0.562500,0.554490,0.011193,0.322533,0.478452,3
0.457031,0.226562,0.550781,0.560310,0.013397,0.322533,0.478452,3
0.441406,0.277344,0.542969,0.564000,0.013397,0.322533,0.478452,3
0.437500,0.265625,0.554688,0.570620,0.013397,0.322533,0.478452,3
0.441406,0.265625,0.558594,0.584170,0.013397,0.322533,0.478452,3
0.449219,0.265625,0.558594,0.602700,0.013397,0.322533,0.478452,3
0.453125,0.269531,0.558594,0.620250,0.013397,0.322533,0.478452,3
0.449219,0.269531,0.554688,0.638780,0.013397,0.322533,0.478452,3
0.449219,0.269531,0.550781,0.666590,0.013397,0.322533,0.478452,3
0.449219,0.273438,0.550781,0.700350,0.012167,0.322533,0.478452,3
0.449219,0.269531,0.550781,0.729820,0.012167,0.322533,0.478452,3
0.453125,0.265625,0.550781,0.746880,0.012167,0.322533,0.478452,3
0.449219,0.265625,0.550781,0.754330,0.012167,0.322533,0.478452,3
0.449219,0.265625,0.550781,0.746480,0.012167,0.322533,0.478452,3
0.441406,0.269531,0.546875,0.728860,0.012167,0.322533,0.478452,3
0.441406,0.273438,0.546875,0.727460,0.012167,0.322533,0.478452,3
0.441406,0.269531,0.546875,0.758630,0.012167,0.322533,0.478452,3
0.441406,0.265625,0.539062,0.801590,0.012000,0.322533,0.478774,3
0.437500,0.261719,0.539062,0.817210,0.012000,0.322533,0.478774,3
0.437500,0.265625,0.539062,0.802040,0.012000,0.322533,0.478774,3
0.441406,0.269531,0.535156,0.697490,0.012000,0.322533,0.478774,3
