acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.441406,0.277344,0.582031,0.797430,0.024951,0.256967,0.482129,5
0.437500,0.281250,0.585938,0.720700,0.024951,0.256967,0.482129,5
0.441406,0.292969,0.601562,0.658470,0.024951,0.256967,0.482129,5
0.421875,0.292969,0.593750,0.550890,0.024951,0.256967,0.482129,5
0.453125,0.332031,0.574219,0.420150,0.024951,0.256967,0.482129,5
0.417969,0.257812,0.523438,0.355590,0.024951,0.256967,0.482129,5
0.433594,0.179688,0.519531,0.366760,0.024951,0.256967,0.482129,5
0.433594,0.261719,0.519531,0.446380,0.024951,0.256967,0.482129,5
0.445312,0.273438,0.523438,0.542480,0.024644,0.256967,0.482129,5
0.457031,0.261719,0.535156,0.597310,0.024644,0.256967,0.482129,5
0.449219,0.261719,0.531250,0.600190,0.024644,0.256967,0.482129,5
0.445312,0.257812,0.527344,0.588270,0.024644,0.256967,0.482129,5
0.441406,0.261719,0.531250,0.579640,0.024644,0.256967,0.482129,5
0.445312,0.261719,0.535156,0.569650,0.024644,0.256967,0.482129,5
0.445312,0.261719,0.535156,0.558380,0.024644,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.551940,0.024644,0.256967,0.482129,5
0.437500,0.261719,0.523438,0.550840,0.024618,0.256967,0.482129,5
0.433594,0.269531,0.523438,0.551540,0.024618,0.256967,0.482129,5
0.445312,0.257812,0.531250,0.550270,0.024618,0.256967,0.482129,5
0.437500,0.265625,0.523438,0.545980,0.024618,0.256967,0.482129,5
0.433594,0.261719,0.523438,0.543000,0.024618,0.256967,0.482129,5
0.437500,0.261719,0.523438,0.544530,0.024618,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.557300,0.024618,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.581420,0.024618,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.593740,0.024528,0.256967,0.482129,5
0.437500,0.261719,0.531250,0.569070,0.024528,0.256967,0.482129,5
0.437500,0.261719,0.531250,0.525940,0.024528,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.506450,0.024528,0.256967,0.482129,5
0.437500,0.261719,0.527344,0.514610,0.024528,0.256967,0.482129,5
0.437500,0.265625,0.527344,0.520500,0.024528,0.256967,0.482129,5
0.437500,0.265625,0.527344,0.509390,0.024528,0.256967,0.482129,5
0.437500,0.265625,0.523438,0.485420,0.024528,0.256967,0.482129,5
0.433594,0.261719,0.523438,0.454870,0.024426,0.256400,0.481613,5
0.433594,0.261719,0.523438,0.432010,0.024426,0.256400,0.481613,5
0.429688,0.265625,0.523438,0.430920,0.024426,0.256400,0.481613,5
0.429688,0.265625,0.523438,0.448550,0.024426,0.256400,0.481613,5
0.429688,0.265625,0.523438,0.467230,0.024426,0.256400,0.481613,5
0.429688,0.269531,0.519531,0.479520,0.024426,0.256400,0.481613,5
0.429688,0.269531,0.523438,0.486540,0.024426,0.256400,0.481613,5
0.429688,0.265625,0.519531,0.483500,0.024426,0.256400,0.481613,5
0.425781,0.265625,0.515625,0.457450,0.024208,0.256400,0.481613,5
0.429688,0.265625,0.515625,0.398850,0.024208,0.256400,0.481613,5
