acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.441406,0.269531,0.550781,0.563350,0.017767,0.238333,0.480645,0
0.441406,0.269531,0.558594,0.605960,0.017767,0.238333,0.480645,0
0.433594,0.277344,0.562500,0.617830,0.017767,0.238333,0.480645,0
0.441406,0.308594,0.621094,0.578990,0.017767,0.238333,0.480645,0
0.441406,0.265625,0.542969,0.512310,0.017767,0.238333,0.480645,0
0.441406,0.234375,0.546875,0.450150,0.017767,0.238333,0.480645,0
0.378906,0.230469,0.511719,0.398970,0.017767,0.238333,0.480645,0
0.414062,0.273438,0.519531,0.340620,0.017767,0.238333,0.480645,0
0.421875,0.261719,0.535156,0.274130,0.018318,0.238333,0.480645,0
0.437500,0.265625,0.542969,0.208800,0.018318,0.238333,0.480645,0
0.437500,0.265625,0.531250,0.155480,0.018318,0.238333,0.480645,0
0.437500,0.269531,0.527344,0.117580,0.018318,0.238333,0.480645,0
0.437500,0.269531,0.527344,0.121670,0.018318,0.238333,0.480645,0
0.441406,0.273438,0.523438,0.260460,0.018318,0.238333,0.480645,0
0.441406,0.277344,0.519531,0.441520,0.018318,0.238333,0.480645,0
0.445312,0.281250,0.519531,0.528570,0.018318,0.238333,0.480645,0
0.445312,0.277344,0.519531,0.532360,0.019484,0.238333,0.480645,0
0.445312,0.273438,0.519531,0.529330,0.019484,0.238333,0.480645,0
0.449219,0.277344,0.519531,0.546540,0.019484,0.238333,0.480645,0
0.449219,0.285156,0.523438,0.590450,0.019484,0.238333,0.480645,0
0.453125,0.289062,0.523438,0.628660,0.019484,0.238333,0.480645,0
0.449219,0.250000,0.523438,0.635890,0.019484,0.238333,0.480645,0
0.449219,0.238281,0.527344,0.617580,0.019484,0.238333,0.480645,0
0.449219,0.238281,0.531250,0.586540,0.019484,0.238333,0.480645,0
0.445312,0.242188,0.539062,0.561450,0.018627,0.238333,0.480645,0
0.441406,0.253906,0.546875,0.556410,0.018627,0.238333,0.480645,0
0.433594,0.261719,0.554688,0.572860,0.018627,0.238333,0.480645,0
0.433594,0.265625,0.550781,0.586460,0.018627,0.238333,0.480645,0
0.433594,0.273438,0.542969,0.581990,0.018627,0.238333,0.480645,0
0.429688,0.273438,0.535156,0.569610,0.018627,0.238333,0.480645,0
0.417969,0.277344,0.523438,0.564390,0.018627,0.238333,0.480645,0
0.406250,0.261719,0.519531,0.566660,0.018627,0.238333,0.480645,0
0.410156,0.257812,0.523438,0.567760,0.018435,0.225567,0.480645,0
0.417969,0.250000,0.531250,0.563780,0.018435,0.225567,0.480645,0
0.417969,0.250000,0.535156,0.556980,0.018435,0.225567,0.480645,0
0.417969,0.246094,0.539062,0.552170,0.018435,0.225567,0.480645,0
0.421875,0.242188,0.527344,0.549450,0.018435,0.225567,0.480645,0
0.425781,0.230469,0.523438,0.542840,0.018435,0.225567,0.480645,0
0.429688,0.214844,0.519531,0.523760,0.018435,0.225567,0.480645,0
0.425781,0.207031,0.519531,0.492470,0.018435,0.225567,0.480645,0
0.425781,0.214844,0.515625,0.460770,0.018345,0.225567,0.480645,0
0.429688,0.246094,0.515625,0.436630,0.018345,0.225567,0.480645,0
0.429688,0.277344,0.519531,0.417570,0.018345,0.225567,0.480645,0
0.441406,0.292969,0.511719,0.399980,0.018345,0.225567,0.480645,0
0.445312,0.277344,0.507812,0.380260,0.018345,0.225567,0.480645,0
0.445312,0.257812,0.503906,0.365310,0.018345,0.225567,0.480645,0
0.453125,0.242188,0.480469,0.378960,0.018345,0.225567,0.480645,0
0.449219,0.246094,0.472656,0.436470,0.018345,0.225567,0.480645,0
0.437500,0.269531,0.476562,0.507870,0.018256,0.225567,0.480645,0
0.429688,0.281250,0.488281,0.548760,0.018256,0.225567,0.480645,0
0.421875,0.304688,0.496094,0.556360,0.018256,0.225567,0.480645,0
0.421875,0.312500,0.507812,0.554910,0.018256,0.225567,0.480645,0
0.421875,0.312500,0.507812,0.550580,0.018256,0.225567,0.480645,0
0.414062,0.300781,0.515625,0.541780,0.018256,0.225567,0.480645,0
0.410156,0.296875,0.515625,0.538560,0.018256,0.225567,0.480645,0
0.394531,0.289062,0.515625,0.544020,0.018256,0.225567,0.480645,0
0.394531,0.277344,0.507812,0.542480,0.018230,0.225567,0.480645,0
0.390625,0.269531,0.503906,0.521840,0.018230,0.225567,0.480645,0
0.375000,0.257812,0.496094,0.494660,0.018230,0.225567,0.480645,0
0.378906,0.257812,0.496094,0.484600,0.018230,0.225567,0.480645,0
0.382812,0.238281,0.492188,0.498450,0.018230,0.225567,0.480645,0
0.386719,0.238281,0.492188,0.517880,0.018230,0.225567,0.480645,0
0.382812,0.242188,0.492188,0.520500,0.018230,0.225567,0.480645,0
0.386719,0.269531,0.496094,0.503250,0.018230,0.225567,0.480645,0
0.390625,0.273438,0.496094,0.480230,0.018512,0.221667,0.480645,0
0.398438,0.261719,0.496094,0.462220,0.018512,0.221667,0.480645,0
0.417969,0.253906,0.500000,0.449440,0.018512,0.221667,0.480645,0
0.433594,0.261719,0.507812,0.443200,0.018512,0.221667,0.480645,0
0.453125,0.281250,0.511719,0.445660,0.018512,0.221667,0.480645,0
0.449219,0.285156,0.511719,0.450220,0.018512,0.221667,0.480645,0
0.445312,0.292969,0.503906,0.450400,0.018512,0.221667,0.480645,0
0.441406,0.289062,0.500000,0.454350,0.018512,0.221667,0.480645,0
0.441406,0.285156,0.503906,0.470220,0.018448,0.221667,0.480645,0
0.433594,0.285156,0.503906,0.485880,0.018448,0.221667,0.480645,0
0.421875,0.292969,0.511719,0.486130,0.018448,0.221667,0.480645,0
0.398438,0.296875,0.515625,0.480910,0.018448,0.221667,0.480645,0
0.378906,0.281250,0.523438,0.490750,0.018448,0.221667,0.480645,0
0.382812,0.269531,0.523438,0.513740,0.018448,0.221667,0.480645,0
0.390625,0.218750,0.519531,0.531710,0.018448,0.221667,0.480645,0
0.386719,0.183594,0.523438,0.538320,0.018448,0.221667,0.480645,0
0.371094,0.148438,0.519531,0.535210,0.018358,0.221667,0.480645,0
0.375000,0.199219,0.511719,0.522080,0.018358,0.221667,0.480645,0
0.386719,0.242188,0.503906,0.511790,0.018358,0.221667,0.480645,0
0.425781,0.281250,0.488281,0.522480,0.018358,0.221667,0.480645,0
0.437500,0.257812,0.484375,0.546540,0.018358,0.221667,0.480645,0
0.445312,0.226562,0.472656,0.562880,0.018358,0.221667,0.480645,0
0.449219,0.234375,0.449219,0.563390,0.018358,0.221667,0.480645,0
0.453125,0.257812,0.437500,0.542430,0.018358,0.221667,0.480645,0
0.464844,0.292969,0.441406,0.497950,0.018217,0.221667,0.480645,0
0.460938,0.300781,0.453125,0.455470,0.018217,0.221667,0.480645,0
0.433594,0.304688,0.464844,0.445250,0.018217,0.221667,0.480645,0
0.425781,0.304688,0.453125,0.461810,0.018217,0.221667,0.480645,0
0.433594,0.292969,0.449219,0.481460,0.018217,0.221667,0.480645,0
0.449219,0.277344,0.457031,0.496700,0.018217,0.221667,0.480645,0
0.453125,0.265625,0.460938,0.509390,0.018217,0.221667,0.480645,0
0.441406,0.242188,0.464844,0.515180,0.018217,0.221667,0.480645,0
0.425781,0.230469,0.472656,0.510870,0.018192,0.288000,0.480645,0
0.425781,0.214844,0.476562,0.501940,0.018192,0.288000,0.480645,0
0.433594,0.195312,0.492188,0.495070,0.018192,0.288000,0.480645,0
0.441406,0.179688,0.496094,0.491070,0.018192,0.288000,0.480645,0
0.437500,0.250000,0.515625,0.484340,0.018192,0.288000,0.480645,0
0.425781,0.316406,0.542969,0.462280,0.018192,0.288000,0.480645,0
0.429688,0.296875,0.542969,0.418130,0.018192,0.288000,0.480645,0
0.429688,0.269531,0.531250,0.370750,0.018192,0.288000,0.480645,0
0.425781,0.250000,0.527344,0.352720,0.018179,0.288000,0.480645,0
0.445312,0.238281,0.519531,0.372390,0.018179,0.288000,0.480645,0
0.460938,0.257812,0.527344,0.410770,0.018179,0.288000,0.480645,0
0.449219,0.269531,0.527344,0.454580,0.018179,0.288000,0.480645,0
0.433594,0.281250,0.515625,0.499750,0.018179,0.288000,0.480645,0
0.429688,0.285156,0.515625,0.536240,0.018179,0.288000,0.480645,0
0.433594,0.281250,0.511719,0.557190,0.018179,0.288000,0.480645,0
0.425781,0.277344,0.511719,0.572070,0.018179,0.288000,0.480645,0
0.421875,0.277344,0.511719,0.589350,0.018089,0.288000,0.480645,0
0.406250,0.269531,0.511719,0.594230,0.018089,0.288000,0.480645,0
0.402344,0.261719,0.515625,0.563550,0.018089,0.288000,0.480645,0
0.402344,0.250000,0.523438,0.499400,0.018089,0.288000,0.480645,0
0.410156,0.230469,0.519531,0.437090,0.018089,0.288000,0.480645,0
0.414062,0.226562,0.519531,0.415160,0.018089,0.288000,0.480645,0
0.417969,0.207031,0.515625,0.437190,0.018089,0.288000,0.480645,0
0.417969,0.199219,0.511719,0.463430,0.018089,0.288000,0.480645,0
