acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.425781,0.730469,0.558594,0.591290,0.018025,0.239167,0.440194,6
0.421875,0.738281,0.558594,0.610020,0.018025,0.239167,0.440194,6
0.421875,0.738281,0.558594,0.638150,0.018025,0.239167,0.440194,6
0.429688,0.738281,0.562500,0.673500,0.018025,0.239167,0.440194,6
0.425781,0.726562,0.558594,0.704540,0.018025,0.239167,0.440194,6
0.425781,0.734375,0.558594,0.726070,0.018025,0.239167,0.440194,6
0.425781,0.714844,0.566406,0.743210,0.018025,0.239167,0.440194,6
0.414062,0.757812,0.550781,0.762300,0.018025,0.239167,0.440194,6
0.398438,0.730469,0.546875,0.780970,0.018423,0.239167,0.440194,6
0.429688,0.722656,0.546875,0.788480,0.018423,0.239167,0.440194,6
0.410156,0.742188,0.542969,0.776710,0.018423,0.239167,0.440194,6
0.410156,0.722656,0.546875,0.744900,0.018423,0.239167,0.440194,6
0.406250,0.722656,0.546875,0.698030,0.018423,0.239167,0.440194,6
0.410156,0.730469,0.554688,0.638760,0.018423,0.239167,0.440194,6
0.414062,0.730469,0.554688,0.577620,0.018423,0.239167,0.440194,6
0.414062,0.734375,0.558594,0.525170,0.018423,0.239167,0.440194,6
0.414062,0.730469,0.558594,0.482780,0.018679,0.239167,0.440194,6
0.414062,0.730469,0.554688,0.437260,0.018679,0.239167,0.440194,6
0.410156,0.730469,0.554688,0.382360,0.018679,0.239167,0.440194,6
0.414062,0.734375,0.554688,0.337250,0.018679,0.239167,0.440194,6
0.414062,0.738281,0.546875,0.311470,0.018679,0.239167,0.440194,6
0.410156,0.746094,0.546875,0.296570,0.018679,0.239167,0.440194,6
0.406250,0.722656,0.539062,0.256310,0.018679,0.239167,0.440194,6
0.414062,0.738281,0.546875,0.202840,0.018679,0.239167,0.440194,6
0.410156,0.730469,0.542969,0.163670,0.018269,0.239167,0.440194,6
0.410156,0.734375,0.539062,0.140310,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,0.092520,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.535156,-0.000680,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,-0.083650,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,-0.131380,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,-0.162850,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,-0.252110,0.018269,0.239167,0.440194,6
0.406250,0.730469,0.539062,-0.370850,0.018282,0.274000,0.440839,6
0.410156,0.730469,0.542969,-0.462740,0.018282,0.274000,0.440839,6
0.410156,0.730469,0.542969,-0.448390,0.018282,0.274000,0.440839,6
0.410156,0.730469,0.546875,-0.019150,0.018282,0.274000,0.440839,6
0.414062,0.730469,0.546875,0.532460,0.018282,0.274000,0.440839,6
0.414062,0.730469,0.546875,0.866120,0.018282,0.274000,0.440839,6
0.410156,0.730469,0.546875,1.007760,0.018282,0.274000,0.440839,6
0.406250,0.734375,0.550781,1.052150,0.018282,0.274000,0.440839,6
0.398438,0.734375,0.554688,0.997260,0.018307,0.274000,0.440839,6
0.390625,0.722656,0.558594,0.884440,0.018307,0.274000,0.440839,6
0.382812,0.714844,0.542969,0.773340,0.018307,0.274000,0.440839,6
0.382812,0.714844,0.546875,0.698440,0.018307,0.274000,0.440839,6
0.367188,0.722656,0.550781,0.638450,0.018307,0.274000,0.440839,6
0.363281,0.722656,0.546875,0.588920,0.018307,0.274000,0.440839,6
0.359375,0.714844,0.546875,0.633960,0.018307,0.274000,0.440839,6
0.359375,0.714844,0.550781,0.717410,0.018307,0.274000,0.440839,6
0.359375,0.710938,0.542969,0.763590,0.018320,0.274000,0.440839,6
0.359375,0.710938,0.546875,0.743130,0.018320,0.274000,0.440839,6
0.363281,0.707031,0.546875,0.693890,0.018320,0.274000,0.440839,6
0.371094,0.707031,0.546875,0.656410,0.018320,0.274000,0.440839,6
0.378906,0.714844,0.550781,0.645120,0.018320,0.274000,0.440839,6
0.382812,0.714844,0.550781,0.649640,0.018320,0.274000,0.440839,6
0.394531,0.710938,0.550781,0.641880,0.018320,0.274000,0.440839,6
0.398438,0.710938,0.550781,0.612650,0.018320,0.274000,0.440839,6
0.402344,0.714844,0.550781,0.571770,0.018371,0.274000,0.440839,6
0.414062,0.722656,0.550781,0.538180,0.018371,0.274000,0.440839,6
0.414062,0.734375,0.558594,0.522520,0.018371,0.274000,0.440839,6
0.421875,0.765625,0.554688,0.520170,0.018371,0.274000,0.440839,6
0.421875,0.769531,0.542969,0.520580,0.018371,0.274000,0.440839,6
0.425781,0.796875,0.535156,0.523390,0.018371,0.274000,0.440839,6
0.414062,0.792969,0.542969,0.530860,0.018371,0.274000,0.440839,6
0.414062,0.750000,0.531250,0.536710,0.018371,0.274000,0.440839,6
0.421875,0.703125,0.515625,0.535870,0.018333,0.295000,0.440581,6
0.429688,0.703125,0.519531,0.530700,0.018333,0.295000,0.440581,6
0.429688,0.718750,0.523438,0.527110,0.018333,0.295000,0.440581,6
0.417969,0.707031,0.527344,0.524590,0.018333,0.295000,0.440581,6
0.414062,0.699219,0.523438,0.520090,0.018333,0.295000,0.440581,6
0.417969,0.683594,0.523438,0.514320,0.018333,0.295000,0.440581,6
0.414062,0.695312,0.531250,0.511060,0.018333,0.295000,0.440581,6
0.417969,0.714844,0.542969,0.512320,0.018333,0.295000,0.440581,6
0.417969,0.718750,0.542969,0.515690,0.018243,0.295000,0.440581,6
0.414062,0.722656,0.546875,0.518670,0.018243,0.295000,0.440581,6
0.410156,0.714844,0.550781,0.520180,0.018243,0.295000,0.440581,6
0.406250,0.710938,0.550781,0.520140,0.018243,0.295000,0.440581,6
0.410156,0.718750,0.558594,0.519010,0.018243,0.295000,0.440581,6
0.406250,0.742188,0.562500,0.517900,0.018243,0.295000,0.440581,6
