acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.457031,0.746094,0.535156,0.460500,0.018588,0.203333,0.490000,6
0.453125,0.746094,0.535156,0.457860,0.018588,0.203333,0.490000,6
0.457031,0.746094,0.535156,0.460730,0.018588,0.203333,0.490000,6
0.457031,0.746094,0.539062,0.466510,0.018588,0.203333,0.490000,6
0.457031,0.742188,0.535156,0.468760,0.018588,0.203333,0.490000,6
0.457031,0.753906,0.527344,0.464050,0.018588,0.203333,0.490000,6
0.453125,0.746094,0.535156,0.454060,0.018588,0.203333,0.490000,6
0.441406,0.750000,0.535156,0.445230,0.018588,0.203333,0.490000,6
0.472656,0.746094,0.531250,0.440950,0.018370,0.203333,0.490000,6
0.445312,0.742188,0.539062,0.458860,0.018370,0.203333,0.490000,6
0.460938,0.742188,0.531250,0.500020,0.018370,0.203333,0.490000,6
0.457031,0.738281,0.531250,0.532220,0.018370,0.203333,0.490000,6
0.437500,0.742188,0.531250,0.545610,0.018370,0.203333,0.490000,6
0.445312,0.746094,0.531250,0.547990,0.018370,0.203333,0.490000,6
0.441406,0.742188,0.535156,0.543900,0.018370,0.203333,0.490000,6
0.453125,0.738281,0.535156,0.534890,0.018370,0.203333,0.490000,6
0.445312,0.746094,0.535156,0.526670,0.018306,0.203333,0.490000,6
0.437500,0.742188,0.535156,0.522090,0.018306,0.203333,0.490000,6
0.441406,0.742188,0.535156,0.520530,0.018306,0.203333,0.490000,6
0.441406,0.738281,0.535156,0.519670,0.018306,0.203333,0.490000,6
0.441406,0.734375,0.535156,0.521100,0.018306,0.203333,0.490000,6
0.437500,0.738281,0.531250,0.525020,0.018306,0.203333,0.490000,6
0.429688,0.742188,0.531250,0.527410,0.018306,0.203333,0.490000,6
0.437500,0.742188,0.539062,0.525300,0.018306,0.203333,0.490000,6
0.433594,0.738281,0.535156,0.520050,0.018716,0.203333,0.489742,6
0.437500,0.738281,0.535156,0.515660,0.018716,0.203333,0.489742,6
0.437500,0.742188,0.535156,0.513500,0.018716,0.203333,0.489742,6
0.437500,0.738281,0.535156,0.512230,0.018716,0.203333,0.489742,6
0.437500,0.738281,0.535156,0.511400,0.018716,0.203333,0.489742,6
0.437500,0.738281,0.535156,0.511390,0.018716,0.203333,0.489742,6
0.441406,0.738281,0.539062,0.510750,0.018716,0.203333,0.489742,6
0.437500,0.738281,0.539062,0.509120,0.018716,0.203333,0.489742,6
0.433594,0.742188,0.539062,0.508010,0.018985,0.353333,0.489742,6
0.429688,0.738281,0.542969,0.507970,0.018985,0.353333,0.489742,6
0.425781,0.742188,0.546875,0.505750,0.018985,0.353333,0.489742,6
0.429688,0.738281,0.546875,0.500820,0.018985,0.353333,0.489742,6
0.433594,0.738281,0.546875,0.495950,0.018985,0.353333,0.489742,6
0.433594,0.742188,0.550781,0.491430,0.018985,0.353333,0.489742,6
0.429688,0.738281,0.550781,0.486070,0.018985,0.353333,0.489742,6
0.429688,0.738281,0.550781,0.479160,0.018985,0.353333,0.489742,6
0.433594,0.734375,0.542969,0.474990,0.019049,0.353333,0.489742,6
0.433594,0.734375,0.539062,0.474330,0.019049,0.353333,0.489742,6
0.429688,0.742188,0.542969,0.475200,0.019049,0.353333,0.489742,6
0.425781,0.738281,0.539062,0.473170,0.019049,0.353333,0.489742,6
0.425781,0.730469,0.535156,0.465750,0.019049,0.353333,0.489742,6
0.429688,0.722656,0.535156,0.457900,0.019049,0.353333,0.489742,6
0.429688,0.726562,0.535156,0.454250,0.019049,0.353333,0.489742,6
0.429688,0.734375,0.539062,0.471330,0.019049,0.353333,0.489742,6
0.429688,0.746094,0.539062,0.503170,0.019075,0.353333,0.489742,6
0.437500,0.750000,0.535156,0.524950,0.019075,0.353333,0.489742,6
0.437500,0.734375,0.527344,0.536870,0.019075,0.353333,0.489742,6
0.441406,0.730469,0.523438,0.545180,0.019075,0.353333,0.489742,6
