acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.449219,0.285156,0.601562,0.504010,0.015333,0.243800,0.456581,6
0.445312,0.289062,0.605469,0.498050,0.015333,0.243800,0.456581,6
0.437500,0.312500,0.601562,0.502670,0.015333,0.243800,0.456581,6
0.445312,0.277344,0.589844,0.524910,0.015333,0.243800,0.456581,6
0.433594,0.253906,0.582031,0.550160,0.015333,0.243800,0.456581,6
0.425781,0.273438,0.582031,0.561510,0.015333,0.243800,0.456581,6
0.425781,0.277344,0.574219,0.562690,0.015333,0.243800,0.456581,6
0.375000,0.222656,0.523438,0.574530,0.015333,0.243800,0.456581,6
0.460938,0.304688,0.601562,0.608240,0.015692,0.243800,0.456581,6
0.445312,0.273438,0.578125,0.640460,0.015692,0.243800,0.456581,6
0.453125,0.281250,0.585938,0.622910,0.015692,0.243800,0.456581,6
0.449219,0.277344,0.578125,0.533900,0.015692,0.243800,0.456581,6
0.449219,0.281250,0.578125,0.422040,0.015692,0.243800,0.456581,6
0.453125,0.285156,0.578125,0.371610,0.015692,0.243800,0.456581,6
0.453125,0.292969,0.574219,0.413170,0.015692,0.243800,0.456581,6
0.453125,0.304688,0.570312,0.496060,0.015692,0.243800,0.456581,6
0.453125,0.304688,0.570312,0.559490,0.016051,0.243800,0.456452,6
0.457031,0.277344,0.566406,0.594520,0.016051,0.243800,0.456452,6
0.445312,0.265625,0.562500,0.619950,0.016051,0.243800,0.456452,6
0.441406,0.257812,0.558594,0.638140,0.016051,0.243800,0.456452,6
0.433594,0.238281,0.554688,0.644570,0.016051,0.243800,0.456452,6
0.425781,0.234375,0.554688,0.649430,0.016051,0.243800,0.456452,6
0.429688,0.246094,0.562500,0.660920,0.016051,0.243800,0.456452,6
0.437500,0.265625,0.558594,0.669350,0.016051,0.243800,0.456452,6
0.437500,0.273438,0.558594,0.669710,0.015653,0.243800,0.456452,6
0.437500,0.281250,0.558594,0.675040,0.015653,0.243800,0.456452,6
0.441406,0.285156,0.558594,0.688640,0.015653,0.243800,0.456452,6
0.449219,0.285156,0.554688,0.689430,0.015653,0.243800,0.456452,6
0.457031,0.277344,0.554688,0.666000,0.015653,0.243800,0.456452,6
0.457031,0.269531,0.550781,0.638900,0.015653,0.243800,0.456452,6
0.457031,0.257812,0.542969,0.626820,0.015653,0.243800,0.456452,6
0.457031,0.250000,0.535156,0.615420,0.015653,0.243800,0.456452,6
0.453125,0.238281,0.531250,0.583770,0.015641,0.237067,0.456452,6
0.449219,0.230469,0.527344,0.540190,0.015641,0.237067,0.456452,6
0.453125,0.195312,0.519531,0.503740,0.015641,0.237067,0.456452,6
0.445312,0.210938,0.531250,0.469220,0.015641,0.237067,0.456452,6
0.445312,0.199219,0.539062,0.424920,0.015641,0.237067,0.456452,6
0.453125,0.203125,0.558594,0.388110,0.015641,0.237067,0.456452,6
0.460938,0.242188,0.554688,0.382310,0.015641,0.237067,0.456452,6
0.457031,0.265625,0.558594,0.393070,0.015641,0.237067,0.456452,6
0.476562,0.269531,0.562500,0.379450,0.015564,0.237067,0.456452,6
0.480469,0.265625,0.566406,0.316250,0.015564,0.237067,0.456452,6
0.496094,0.265625,0.566406,0.220300,0.015564,0.237067,0.456452,6
0.500000,0.273438,0.566406,0.156100,0.015564,0.237067,0.456452,6
0.500000,0.285156,0.562500,0.193950,0.015564,0.237067,0.456452,6
0.496094,0.308594,0.558594,0.327850,0.015564,0.237067,0.456452,6
0.492188,0.312500,0.558594,0.458050,0.015564,0.237067,0.456452,6
0.468750,0.308594,0.554688,0.490520,0.015564,0.237067,0.456452,6
0.433594,0.296875,0.554688,0.432280,0.015448,0.237067,0.456452,6
0.421875,0.292969,0.554688,0.360570,0.015448,0.237067,0.456452,6
0.410156,0.292969,0.542969,0.325800,0.015448,0.237067,0.456452,6
0.402344,0.296875,0.542969,0.323370,0.015448,0.237067,0.456452,6
0.382812,0.281250,0.546875,0.336760,0.015448,0.237067,0.456452,6
0.367188,0.269531,0.546875,0.356750,0.015448,0.237067,0.456452,6
0.363281,0.257812,0.542969,0.370000,0.015448,0.237067,0.456452,6
0.371094,0.238281,0.542969,0.371150,0.015448,0.237067,0.456452,6
0.367188,0.214844,0.550781,0.373860,0.015436,0.237067,0.456452,6
0.359375,0.203125,0.554688,0.389190,0.015436,0.237067,0.456452,6
0.363281,0.238281,0.570312,0.409610,0.015436,0.237067,0.456452,6
0.398438,0.292969,0.570312,0.424310,0.015436,0.237067,0.456452,6
0.460938,0.273438,0.562500,0.433750,0.015436,0.237067,0.456452,6
0.484375,0.265625,0.570312,0.443350,0.015436,0.237067,0.456452,6
0.507812,0.253906,0.570312,0.453480,0.015436,0.237067,0.456452,6
0.460938,0.250000,0.527344,0.459950,0.015436,0.237067,0.456452,6
0.433594,0.253906,0.511719,0.461070,0.015359,0.232967,0.456452,6
0.421875,0.277344,0.519531,0.461430,0.015359,0.232967,0.456452,6
0.429688,0.289062,0.523438,0.465780,0.015359,0.232967,0.456452,6
0.445312,0.296875,0.531250,0.471530,0.015359,0.232967,0.456452,6
0.445312,0.292969,0.531250,0.473630,0.015359,0.232967,0.456452,6
0.449219,0.285156,0.535156,0.473530,0.015359,0.232967,0.456452,6
0.460938,0.285156,0.539062,0.476890,0.015359,0.232967,0.456452,6
0.464844,0.285156,0.542969,0.485980,0.015359,0.232967,0.456452,6
0.464844,0.273438,0.550781,0.499070,0.015295,0.232967,0.456452,6
0.464844,0.250000,0.550781,0.513110,0.015295,0.232967,0.456452,6
0.464844,0.242188,0.546875,0.523680,0.015295,0.232967,0.456452,6
0.464844,0.242188,0.542969,0.524350,0.015295,0.232967,0.456452,6
0.464844,0.230469,0.542969,0.510380,0.015295,0.232967,0.456452,6
0.449219,0.191406,0.535156,0.486040,0.015295,0.232967,0.456452,6
0.417969,0.187500,0.546875,0.465370,0.015295,0.232967,0.456452,6
0.406250,0.238281,0.554688,0.460240,0.015295,0.232967,0.456452,6
0.421875,0.300781,0.554688,0.468970,0.015295,0.232967,0.456581,6
0.429688,0.281250,0.550781,0.480660,0.015295,0.232967,0.456581,6
0.441406,0.261719,0.539062,0.488330,0.015295,0.232967,0.456581,6
0.449219,0.253906,0.542969,0.493880,0.015295,0.232967,0.456581,6
0.460938,0.265625,0.546875,0.502490,0.015295,0.232967,0.456581,6
0.464844,0.289062,0.542969,0.515240,0.015295,0.232967,0.456581,6
0.460938,0.304688,0.539062,0.529110,0.015295,0.232967,0.456581,6
0.445312,0.320312,0.523438,0.541630,0.015295,0.232967,0.456581,6
0.433594,0.312500,0.519531,0.552410,0.015243,0.232967,0.456581,6
0.421875,0.300781,0.519531,0.560310,0.015243,0.232967,0.456581,6
0.414062,0.296875,0.539062,0.562280,0.015243,0.232967,0.456581,6
0.414062,0.300781,0.546875,0.557340,0.015243,0.232967,0.456581,6
0.402344,0.269531,0.578125,0.549370,0.015243,0.232967,0.456581,6
0.402344,0.222656,0.628906,0.542830,0.015243,0.232967,0.456581,6
0.414062,0.218750,0.656250,0.536510,0.015243,0.232967,0.456581,6
0.437500,0.214844,0.648438,0.522290,0.015243,0.232967,0.456581,6
0.445312,0.195312,0.628906,0.488970,0.015179,0.229667,0.456581,6
0.433594,0.199219,0.589844,0.436490,0.015179,0.229667,0.456581,6
0.437500,0.187500,0.593750,0.387720,0.015179,0.229667,0.456581,6
0.437500,0.210938,0.597656,0.367040,0.015179,0.229667,0.456581,6
0.449219,0.289062,0.566406,0.370130,0.015179,0.229667,0.456581,6
0.453125,0.273438,0.531250,0.379760,0.015179,0.229667,0.456581,6
0.449219,0.253906,0.515625,0.396150,0.015179,0.229667,0.456581,6
0.433594,0.222656,0.484375,0.423330,0.015179,0.229667,0.456581,6
0.425781,0.230469,0.476562,0.449900,0.015154,0.229667,0.456581,6
0.441406,0.273438,0.464844,0.468310,0.015154,0.229667,0.456581,6
0.457031,0.300781,0.472656,0.486740,0.015154,0.229667,0.456581,6
0.460938,0.296875,0.480469,0.507690,0.015154,0.229667,0.456581,6
0.453125,0.285156,0.488281,0.521360,0.015154,0.229667,0.456581,6
0.449219,0.289062,0.488281,0.524660,0.015154,0.229667,0.456581,6
0.449219,0.273438,0.484375,0.525590,0.015154,0.229667,0.456581,6
0.449219,0.277344,0.488281,0.527440,0.015154,0.229667,0.456581,6
0.457031,0.265625,0.500000,0.524700,0.015167,0.229667,0.456581,6
0.445312,0.250000,0.523438,0.516600,0.015167,0.229667,0.456581,6
0.437500,0.242188,0.535156,0.514130,0.015167,0.229667,0.456581,6
0.445312,0.207031,0.550781,0.528200,0.015167,0.229667,0.456581,6
0.460938,0.175781,0.550781,0.554680,0.015167,0.229667,0.456581,6
0.457031,0.171875,0.574219,0.575540,0.015167,0.229667,0.456581,6
0.449219,0.304688,0.609375,0.577550,0.015167,0.229667,0.456581,6
0.445312,0.355469,0.613281,0.565020,0.015167,0.229667,0.456581,6
0.449219,0.281250,0.597656,0.548070,0.015077,0.229667,0.456581,6
0.441406,0.269531,0.585938,0.527570,0.015077,0.229667,0.456581,6
0.437500,0.238281,0.570312,0.503850,0.015077,0.229667,0.456581,6
0.457031,0.253906,0.566406,0.488190,0.015077,0.229667,0.456581,6
0.472656,0.253906,0.566406,0.489250,0.015077,0.229667,0.456581,6
0.472656,0.277344,0.566406,0.499930,0.015077,0.229667,0.456581,6
0.449219,0.277344,0.554688,0.511540,0.015077,0.229667,0.456581,6
0.433594,0.277344,0.550781,0.526170,0.015077,0.229667,0.456581,6
0.421875,0.265625,0.539062,0.545910,0.015064,0.229100,0.456581,6
0.414062,0.265625,0.535156,0.564790,0.015064,0.229100,0.456581,6
0.406250,0.281250,0.546875,0.573150,0.015064,0.229100,0.456581,6
0.406250,0.281250,0.562500,0.558200,0.015064,0.229100,0.456581,6
0.417969,0.281250,0.566406,0.511480,0.015064,0.229100,0.456581,6
0.441406,0.261719,0.566406,0.445340,0.015064,0.229100,0.456581,6
0.449219,0.253906,0.562500,0.385730,0.015064,0.229100,0.456581,6
0.453125,0.222656,0.546875,0.346890,0.015064,0.229100,0.456581,6
0.449219,0.195312,0.542969,0.328050,0.015026,0.229100,0.456581,6
0.437500,0.175781,0.539062,0.325710,0.015026,0.229100,0.456581,6
0.429688,0.210938,0.527344,0.338070,0.015026,0.229100,0.456581,6
0.433594,0.261719,0.515625,0.366440,0.015026,0.229100,0.456581,6
0.449219,0.265625,0.496094,0.411200,0.015026,0.229100,0.456581,6
0.453125,0.234375,0.484375,0.461170,0.015026,0.229100,0.456581,6
0.445312,0.226562,0.476562,0.498380,0.015026,0.229100,0.456581,6
0.441406,0.234375,0.464844,0.514010,0.015026,0.229100,0.456581,6
0.449219,0.253906,0.457031,0.511330,0.015051,0.229100,0.456452,6
0.472656,0.281250,0.460938,0.501190,0.015051,0.229100,0.456452,6
0.464844,0.285156,0.480469,0.499100,0.015051,0.229100,0.456452,6
0.453125,0.285156,0.480469,0.514480,0.015051,0.229100,0.456452,6
0.437500,0.261719,0.480469,0.539270,0.015051,0.229100,0.456452,6
0.445312,0.250000,0.480469,0.556780,0.015051,0.229100,0.456452,6
0.468750,0.242188,0.484375,0.565130,0.015051,0.229100,0.456452,6
0.472656,0.230469,0.507812,0.582650,0.015051,0.229100,0.456452,6
0.468750,0.230469,0.519531,0.620920,0.014987,0.229100,0.456452,6
0.449219,0.238281,0.535156,0.662240,0.014987,0.229100,0.456452,6
0.449219,0.234375,0.542969,0.680100,0.014987,0.229100,0.456452,6
0.449219,0.179688,0.539062,0.670560,0.014987,0.229100,0.456452,6
0.441406,0.242188,0.554688,0.646020,0.014987,0.229100,0.456452,6
0.441406,0.277344,0.558594,0.615400,0.014987,0.229100,0.456452,6
0.449219,0.281250,0.554688,0.584700,0.014987,0.229100,0.456452,6
0.445312,0.250000,0.546875,0.556780,0.014987,0.229100,0.456452,6
0.457031,0.222656,0.542969,0.525800,0.015115,0.235833,0.456452,6
0.464844,0.210938,0.535156,0.490700,0.015115,0.235833,0.456452,6
0.484375,0.242188,0.535156,0.466260,0.015115,0.235833,0.456452,6
0.472656,0.281250,0.539062,0.463630,0.015115,0.235833,0.456452,6
0.464844,0.296875,0.539062,0.475270,0.015115,0.235833,0.456452,6
0.449219,0.308594,0.531250,0.489390,0.015115,0.235833,0.456452,6
0.445312,0.304688,0.531250,0.500920,0.015115,0.235833,0.456452,6
0.441406,0.292969,0.542969,0.506160,0.015115,0.235833,0.456452,6
0.425781,0.292969,0.550781,0.501250,0.015038,0.235833,0.456452,6
0.414062,0.289062,0.558594,0.485580,0.015038,0.235833,0.456452,6
