acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.437500,0.394531,0.726562,0.024410,0.076684,0.227500,0.448839,11
0.437500,0.421875,0.730469,-0.099500,0.076684,0.227500,0.448839,11
0.437500,0.417969,0.734375,-0.034810,0.076684,0.227500,0.448839,11
0.437500,0.425781,0.734375,0.238760,0.076684,0.227500,0.448839,11
0.445312,0.406250,0.734375,0.448450,0.076684,0.227500,0.448839,11
0.433594,0.390625,0.718750,0.558350,0.076684,0.227500,0.448839,11
0.437500,0.410156,0.718750,0.621630,0.076684,0.227500,0.448839,11
0.433594,0.402344,0.710938,0.638630,0.076684,0.227500,0.448839,11
0.425781,0.394531,0.703125,0.612410,0.076594,0.227500,0.448839,11
0.425781,0.390625,0.707031,0.595020,0.076594,0.227500,0.448839,11
0.417969,0.386719,0.707031,0.597710,0.076594,0.227500,0.448839,11
0.410156,0.382812,0.699219,0.605980,0.076594,0.227500,0.448839,11
0.417969,0.382812,0.703125,0.582110,0.076594,0.227500,0.448839,11
0.410156,0.414062,0.703125,0.545580,0.076594,0.227500,0.448839,11
0.410156,0.382812,0.703125,0.529700,0.076594,0.227500,0.448839,11
0.394531,0.371094,0.691406,0.547290,0.076594,0.227500,0.448839,11
0.410156,0.375000,0.703125,0.572160,0.077888,0.227500,0.448581,11
0.421875,0.402344,0.707031,0.572060,0.077888,0.227500,0.448581,11
0.417969,0.394531,0.703125,0.559700,0.077888,0.227500,0.448581,11
0.410156,0.390625,0.699219,0.545040,0.077888,0.227500,0.448581,11
0.406250,0.386719,0.699219,0.519310,0.077888,0.227500,0.448581,11
0.410156,0.386719,0.699219,0.483280,0.077888,0.227500,0.448581,11
0.414062,0.390625,0.695312,0.476420,0.077888,0.227500,0.448581,11
0.414062,0.386719,0.695312,0.506750,0.077888,0.227500,0.448581,11
0.417969,0.390625,0.687500,0.542970,0.076133,0.227500,0.448581,11
0.421875,0.390625,0.683594,0.563010,0.076133,0.227500,0.448581,11
0.449219,0.394531,0.656250,0.573390,0.076133,0.227500,0.448581,11
0.480469,0.421875,0.609375,0.579930,0.076133,0.227500,0.448581,11
0.480469,0.433594,0.582031,0.581080,0.076133,0.227500,0.448581,11
0.433594,0.406250,0.550781,0.582440,0.076133,0.227500,0.448581,11
0.406250,0.378906,0.542969,0.588630,0.076133,0.227500,0.448581,11
0.417969,0.339844,0.539062,0.592940,0.076133,0.227500,0.448581,11
0.433594,0.320312,0.535156,0.589780,0.075274,0.218667,0.448581,11
0.441406,0.285156,0.531250,0.586350,0.075274,0.218667,0.448581,11
0.449219,0.218750,0.515625,0.592320,0.075274,0.218667,0.448581,11
0.441406,0.167969,0.507812,0.604700,0.075274,0.218667,0.448581,11
0.394531,0.093750,0.519531,0.597170,0.075274,0.218667,0.448581,11
0.335938,0.082031,0.546875,0.549590,0.075274,0.218667,0.448581,11
0.351562,0.101562,0.554688,0.486020,0.075274,0.218667,0.448581,11
0.429688,0.160156,0.546875,0.457190,0.075274,0.218667,0.448581,11
0.457031,0.183594,0.531250,0.471290,0.073442,0.218667,0.448581,11
0.476562,0.210938,0.511719,0.484500,0.073442,0.218667,0.448581,11
0.468750,0.230469,0.523438,0.465330,0.073442,0.218667,0.448581,11
0.453125,0.238281,0.523438,0.411660,0.073442,0.218667,0.448581,11
0.417969,0.250000,0.531250,0.349570,0.073442,0.218667,0.448581,11
0.402344,0.257812,0.535156,0.320830,0.073442,0.218667,0.448581,11
0.386719,0.265625,0.539062,0.342460,0.073442,0.218667,0.448581,11
0.390625,0.269531,0.527344,0.394040,0.073442,0.218667,0.448581,11
0.398438,0.261719,0.519531,0.436220,0.068457,0.218667,0.448710,11
0.417969,0.250000,0.507812,0.448820,0.068457,0.218667,0.448710,11
0.429688,0.242188,0.507812,0.442320,0.068457,0.218667,0.448710,11
0.445312,0.238281,0.507812,0.433710,0.068457,0.218667,0.448710,11
0.437500,0.234375,0.511719,0.428350,0.068457,0.218667,0.448710,11
0.437500,0.230469,0.500000,0.428420,0.068457,0.218667,0.448710,11
0.453125,0.246094,0.496094,0.431760,0.068457,0.218667,0.448710,11
0.453125,0.246094,0.496094,0.436830,0.068457,0.218667,0.448710,11
0.441406,0.246094,0.496094,0.445120,0.069091,0.218667,0.448710,11
0.437500,0.273438,0.492188,0.457780,0.069091,0.218667,0.448710,11
0.437500,0.281250,0.488281,0.474910,0.069091,0.218667,0.448710,11
0.429688,0.289062,0.484375,0.489520,0.069091,0.218667,0.448710,11
0.429688,0.292969,0.480469,0.496040,0.069091,0.218667,0.448710,11
0.425781,0.289062,0.480469,0.493970,0.069091,0.218667,0.448710,11
0.429688,0.265625,0.476562,0.486900,0.069091,0.218667,0.448710,11
0.433594,0.269531,0.476562,0.475240,0.069091,0.218667,0.448710,11
0.441406,0.261719,0.480469,0.458210,0.069026,0.211100,0.448710,11
0.441406,0.250000,0.480469,0.436270,0.069026,0.211100,0.448710,11
0.453125,0.246094,0.480469,0.412390,0.069026,0.211100,0.448710,11
0.457031,0.218750,0.476562,0.389790,0.069026,0.211100,0.448710,11
0.453125,0.230469,0.484375,0.370440,0.069026,0.211100,0.448710,11
0.449219,0.246094,0.500000,0.358390,0.069026,0.211100,0.448710,11
0.437500,0.250000,0.503906,0.353050,0.069026,0.211100,0.448710,11
0.433594,0.277344,0.515625,0.352680,0.069026,0.211100,0.448710,11
0.445312,0.269531,0.507812,0.357060,0.067437,0.211100,0.448710,11
0.457031,0.257812,0.507812,0.365260,0.067437,0.211100,0.448710,11
0.460938,0.246094,0.519531,0.374550,0.067437,0.211100,0.448710,11
0.453125,0.257812,0.527344,0.382440,0.067437,0.211100,0.448710,11
0.445312,0.273438,0.539062,0.389640,0.067437,0.211100,0.448710,11
