acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.445312,0.289062,0.617188,-0.406890,0.109261,0.228067,0.464839,11
0.445312,0.289062,0.621094,-0.514680,0.109261,0.228067,0.464839,11
0.445312,0.292969,0.621094,-0.568290,0.109261,0.228067,0.464839,11
0.449219,0.285156,0.585938,-0.277080,0.109261,0.228067,0.464839,11
0.445312,0.289062,0.617188,0.364320,0.109261,0.228067,0.464839,11
0.445312,0.273438,0.601562,0.841700,0.109261,0.228067,0.464839,11
0.445312,0.289062,0.601562,1.073050,0.109261,0.228067,0.464839,11
0.445312,0.285156,0.609375,1.176420,0.109261,0.228067,0.464839,11
0.445312,0.273438,0.605469,1.176880,0.110286,0.228067,0.464839,11
0.445312,0.285156,0.605469,1.094570,0.110286,0.228067,0.464839,11
0.445312,0.281250,0.605469,1.033490,0.110286,0.228067,0.464839,11
0.445312,0.285156,0.609375,1.018090,0.110286,0.228067,0.464839,11
0.441406,0.285156,0.601562,1.010580,0.110286,0.228067,0.464839,11
0.441406,0.281250,0.601562,0.949630,0.110286,0.228067,0.464839,11
0.441406,0.281250,0.601562,0.880370,0.110286,0.228067,0.464839,11
0.441406,0.281250,0.601562,0.851760,0.110286,0.228067,0.464839,11
0.445312,0.281250,0.601562,0.841800,0.111569,0.228067,0.464839,11
0.441406,0.281250,0.597656,0.801240,0.111569,0.228067,0.464839,11
0.437500,0.281250,0.597656,0.725000,0.111569,0.228067,0.464839,11
0.437500,0.285156,0.597656,0.661660,0.111569,0.228067,0.464839,11
0.441406,0.285156,0.597656,0.620940,0.111569,0.228067,0.464839,11
0.437500,0.281250,0.597656,0.566590,0.111569,0.228067,0.464839,11
0.437500,0.285156,0.601562,0.492910,0.111569,0.228067,0.464839,11
0.437500,0.289062,0.601562,0.431090,0.111569,0.228067,0.464839,11
0.445312,0.277344,0.589844,0.392530,0.102944,0.228067,0.464968,11
0.457031,0.273438,0.593750,0.341100,0.102944,0.228067,0.464968,11
0.453125,0.281250,0.593750,0.250200,0.102944,0.228067,0.464968,11
0.453125,0.277344,0.589844,0.145660,0.102944,0.228067,0.464968,11
0.453125,0.277344,0.589844,0.043430,0.102944,0.228067,0.464968,11
0.449219,0.281250,0.589844,0.079800,0.102944,0.228067,0.464968,11
0.449219,0.277344,0.589844,0.269820,0.102944,0.228067,0.464968,11
0.449219,0.277344,0.589844,0.419760,0.102944,0.228067,0.464968,11
0.449219,0.277344,0.585938,0.502350,0.101713,0.231033,0.464968,11
0.445312,0.277344,0.585938,0.556530,0.101713,0.231033,0.464968,11
0.449219,0.277344,0.585938,0.578190,0.101713,0.231033,0.464968,11
0.449219,0.277344,0.585938,0.562840,0.101713,0.231033,0.464968,11
0.449219,0.277344,0.585938,0.549600,0.101713,0.231033,0.464968,11
0.449219,0.277344,0.582031,0.555410,0.101713,0.231033,0.464968,11
0.453125,0.273438,0.582031,0.569560,0.101713,0.231033,0.464968,11
0.449219,0.273438,0.582031,0.556990,0.101713,0.231033,0.464968,11
0.449219,0.277344,0.578125,0.530050,0.101431,0.231033,0.464968,11
0.449219,0.277344,0.578125,0.515890,0.101431,0.231033,0.464968,11
0.449219,0.273438,0.574219,0.519200,0.101431,0.231033,0.464968,11
0.449219,0.273438,0.574219,0.518730,0.101431,0.231033,0.464968,11
0.453125,0.277344,0.570312,0.499470,0.101431,0.231033,0.464968,11
