acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
0.542969,0.386719,0.718750,0.532510,0.018718,0.200833,0.420323,11
0.539062,0.382812,0.722656,0.528920,0.018718,0.200833,0.420323,11
0.542969,0.402344,0.722656,0.515750,0.018718,0.200833,0.420323,11
0.542969,0.394531,0.726562,0.500350,0.018718,0.200833,0.420323,11
0.535156,0.363281,0.710938,0.491160,0.018718,0.200833,0.420323,11
0.527344,0.394531,0.699219,0.487410,0.018718,0.200833,0.420323,11
0.535156,0.382812,0.703125,0.482870,0.018718,0.200833,0.420323,11
0.535156,0.375000,0.707031,0.476240,0.018718,0.200833,0.420323,11
0.527344,0.363281,0.703125,0.471310,0.018065,0.200833,0.420323,11
0.523438,0.363281,0.703125,0.468800,0.018065,0.200833,0.420323,11
0.527344,0.375000,0.703125,0.465290,0.018065,0.200833,0.420323,11
0.507812,0.382812,0.699219,0.458900,0.018065,0.200833,0.420323,11
0.523438,0.371094,0.699219,0.450950,0.018065,0.200833,0.420323,11
0.527344,0.382812,0.699219,0.443410,0.018065,0.200833,0.420323,11
0.527344,0.382812,0.699219,0.437010,0.018065,0.200833,0.420323,11
0.535156,0.382812,0.699219,0.431300,0.018065,0.200833,0.420323,11
0.539062,0.382812,0.699219,0.425990,0.018833,0.200833,0.420323,11
0.542969,0.375000,0.699219,0.421340,0.018833,0.200833,0.420323,11
0.546875,0.375000,0.695312,0.417600,0.018833,0.200833,0.420323,11
0.546875,0.375000,0.683594,0.417920,0.018833,0.200833,0.420323,11
0.539062,0.378906,0.683594,0.429760,0.018833,0.200833,0.420323,11
0.535156,0.375000,0.687500,0.455320,0.018833,0.200833,0.420323,11
0.527344,0.328125,0.683594,0.484510,0.018833,0.200833,0.420323,11
0.519531,0.324219,0.687500,0.506930,0.018833,0.200833,0.420323,11
0.500000,0.382812,0.691406,0.524060,0.020115,0.200833,0.420323,11
0.500000,0.367188,0.683594,0.541180,0.020115,0.200833,0.420323,11
0.503906,0.363281,0.679688,0.557470,0.020115,0.200833,0.420323,11
0.492188,0.359375,0.675781,0.570760,0.020115,0.200833,0.420323,11
0.480469,0.363281,0.667969,0.580840,0.020115,0.200833,0.420323,11
0.480469,0.363281,0.664062,0.585170,0.020115,0.200833,0.420323,11
0.480469,0.347656,0.660156,0.581940,0.020115,0.200833,0.420323,11
